t;x;y;v
0.0334;-0.0086;0.3002;0
0.0667;-0.0086;0.3002;0.109
0.1001;-0.0015;0.2987;0.257
0.1335;0.0081;0.2963;0.323
0.1668;0.0194;0.2934;0.387
0.2002;0.0331;0.2899;0.444
0.2336;0.0482;0.2862;0.496
0.2669;0.0652;0.2818;0.554
0.3003;0.0840;0.2768;0.633
0.3337;0.1060;0.2710;0.709
0.3670;0.1297;0.2647;0.764
0.4004;0.1552;0.2576;0.812
0.4338;0.1825;0.2523;0.904
0.4671;0.2132;0.2410;0.990
0.5005;0.2444;0.2292;1.052
0.5339;0.2782;0.2144;1.154
0.5672;0.3144;0.1973;1.256
0.6006;0.3539;0.1785;1.341
0.6340;0.3965;0.1617;1.436
0.6673;0.4442;0.1465;1.497
0.7007;0.4945;0.1423;1.505
0.7341;0.5447;0.1467;1.461
0.7674;0.5912;0.1554;1.422
0.8008;0.6377;0.1652;1.394
0.8342;0.6821;0.1750;1.327
0.8675;0.7242;0.1842;1.250
0.9009;0.7640;0.1910;1.190
0.9343;0.8029;0.1947;1.187
0.9676;0.8431;0.1947;1.215
1.0010;0.8840;0.1947;1.213
1.0344;0.9241;0.1945;1.206
1.0677;0.9645;0.1934;1.220
1.1011;1.0054;0.1904;1.237
1.1345;1.0466;0.1849;1.269
1.1678;1.0885;0.1741;1.324
1.2012;1.1313;0.1598;1.400
1.2346;1.1768;0.1437;1.481
1.2679;1.2254;0.1296;1.537
1.3013;1.2775;0.1240;1.561
1.3347;1.3295;0.1278;1.540
1.3680;1.3794;0.1373;1.484
1.4014;1.4264;0.1483;1.519
1.4348;1.4792;0.1546;
